Postcode,Bedrooms,2021,2022,2023,2024
2015,2,696.5957446808511,724.7247706422019,873.4408602150538,898.0526315789474
2015,3,930.1209677419355,1020.5445544554456,1144.0,1295.1711711711712
2015,4,1263.8181818181818,1412.2448979591836,1569.53125,1500.0
2015,5,1420.0,1468.5714285714287,1533.3333333333333,2025.0
2015,6,,1200.0,,
2015,U,,570.7407407407408,665.0,
2016,0,503.0,461.1111111111111,714.375,558.75
2016,1,413.07142857142856,502.8333333333333,516.8775510204082,749.3201320132014
2016,10,170.0,,,
2016,14,,,,7560.0
2016,2,685.04,763.8317757009346,843.080459770115,956.0135135135135
2016,3,862.2333333333333,974.968992248062,1140.822429906542,1228.5294117647059
2016,4,990.22,1148.5714285714287,1482.9333333333334,1476.4722222222222
2016,5,1171.6666666666667,1500.0,1446.0,1866.6666666666667
2016,6,200.0,1396.6666666666667,,
2016,7,,975.0,,
2016,8,,1400.0,,
2016,U,635.75,832.1428571428571,596.0,
2017,0,580.0,50.0,750.0,
2017,1,457.89473684210526,573.6363636363636,731.7391304347826,766.0243902439024
2017,11,,,800.0,
2017,2,683.3333333333334,800.2222222222222,966.2053571428571,1045.6875
2017,3,858.6458333333334,1032.909090909091,1270.3818181818183,1330.1063829787233
2017,4,1062.5,1207.5925925925926,1466.4,1503.0
2017,5,1275.0,1275.0,1635.7142857142858,1933.3333333333333
2017,6,1200.0,,1800.0,2000.0
2017,U,,709.6428571428571,962.0,
2018,0,350.0,,,
2018,1,386.0,519.6153846153846,655.9090909090909,647.25
2018,2,582.6,691.639344262295,846.3461538461538,884.225
2018,3,859.1935483870968,1033.2105263157894,1203.0,1255.320512820513
2018,4,904.7368421052631,1269.1176470588234,1319.0384615384614,1394.7727272727273
2018,5,988.6363636363636,1324.1666666666667,1665.3846153846155,1851.4285714285713
2018,6,850.0,1106.6666666666667,,1566.6666666666667
2018,7,,,,1900.0
2018,9,,,2100.0,
2018,U,663.3333333333334,793.5,1036.0,
2019,0,420.0,,,
2019,1,398.3333333333333,451.6666666666667,659.4444444444445,632.7777777777778
2019,2,617.2222222222222,720.6,814.5833333333334,912.9629629629629
2019,3,815.0833333333334,913.1372549019608,1046.484375,1162.9310344827586
2019,4,1146.7857142857142,1216.7391304347825,1323.8709677419354,1308.2608695652175
2019,5,1300.0,1775.0,1475.0,1816.6666666666667
2019,6,,1500.0,1800.0,
2019,U,,557.0,1050.0,
2020,0,,,,350.0
2020,1,432.3529411764706,518.6363636363636,698.9722222222222,652.4545454545455
2020,2,619.6153846153846,705.6617647058823,877.9347826086956,915.9
2020,3,725.6547619047619,848.0555555555555,1010.4545454545455,1064.8857142857144
2020,4,986.0344827586207,1171.111111111111,1331.0,1390.4166666666667
2020,5,1140.7142857142858,1249.0,1487.5,1016.6666666666666
2020,6,1150.0,1258.3333333333333,1600.0,1990.0
2020,7,,,,2000.0
2020,U,,783.0,1060.0,
2021,0,495.3076923076923,427.3529411764706,473.1818181818182,700.0
2021,1,527.0714285714286,587.9298245614035,620.6382978723404,714.4736842105264
2021,2,880.439024390244,952.1117647058824,1048.19375,1102.3270440251572
2021,3,1277.9661016949153,1368.017316017316,1529.9134199134198,1615.3807106598986
2021,4,1792.857142857143,1835.1744186046512,1786.8823529411766,1957.1022727272727
2021,5,1791.6666666666667,2248.5714285714284,2420.0,2025.0
2021,6,5375.0,,,
2021,7,5000.0,,,
2021,9,,5000.0,,
2021,U,1051.6666666666667,785.0,445.0,
2022,0,475.0,391.875,466.6666666666667,400.0
2022,1,423.2307692307692,487.8510638297872,582.75,679.0
2022,2,817.1428571428571,910.8163265306123,1002.0833333333334,1045.7608695652175
2022,3,1169.090909090909,1319.567901234568,1454.4594594594594,1505.357142857143
2022,4,1605.111111111111,1791.6808510638298,2148.75,2082.8947368421054
2022,5,1932.2222222222222,2661.0714285714284,2657.1428571428573,2558.3333333333335
2022,6,,,1950.0,
2022,U,650.0,733.75,737.5,1750.0
2023,0,3600.0,,490.0,
2023,1,795.0,556.25,770.0,700.0
2023,2,592.9166666666666,882.9411764705883,889.4444444444445,1054.5
2023,3,1424.8214285714287,1661.5,1849.423076923077,1753.1818181818182
2023,4,2595.8333333333335,2186.6666666666665,2300.0,2579.1666666666665
2023,5,3965.0,4684.375,4134.375,4696.071428571428
2023,6,5000.0,6433.333333333333,4633.333333333333,3900.0
2023,7,,,,5800.0
2023,8,,,3600.0,
2023,U,3200.0,1255.0,,
2024,0,,,550.0,480.0
2024,1,576.875,549.2857142857143,721.0,660.7142857142857
2024,2,868.8,862.9166666666666,1076.060606060606,1166.0
2024,3,1349.795918367347,1628.2432432432433,1587.2619047619048,1851.5
2024,4,2225.757575757576,2359.5833333333335,2488.5,2833.1944444444443
2024,5,2790.909090909091,2911.6666666666665,2767.5,3153.5714285714284
2024,6,1205.0,2500.0,5250.0,3750.0
2024,U,,793.75,,
2025,0,,400.0,,300.0
2025,1,457.0,432.5,543.125,656.0
2025,2,950.5357142857143,954.0909090909091,1076.0,1174.3589743589744
2025,3,1547.52,1611.1363636363637,1737.9032258064517,1743.1884057971015
2025,4,2414.6296296296296,2606.5384615384614,2685.0,2295.5172413793102
2025,5,2316.6666666666665,3173.75,,2951.6666666666665
2025,6,,5300.0,7000.0,7500.0
2025,U,1549.6666666666667,1054.0,1597.5,
2026,0,577.0,487.6923076923077,572.5,1650.0
2026,1,596.6,601.3636363636364,758.6046511627907,924.016393442623
2026,2,891.5,947.0,1148.5882352941176,1210.948275862069
2026,3,1432.905982905983,1464.3208955223881,1715.4661016949153,1819.3196721311476
2026,4,2317.1186440677966,2331.4814814814813,2554.5081967213114,2695.679012345679
2026,5,2801.6666666666665,2698.823529411765,2784.090909090909,3378.5
2026,6,2150.0,3000.0,3000.0,1825.0
2026,U,1850.0,890.5357142857143,690.8333333333334,
2027,0,750.0,,685.0,
2027,1,614.0,525.5,658.2142857142857,852.8125
2027,2,821.9444444444445,1000.9090909090909,1054.423076923077,1274.4444444444443
2027,3,1882.16,1689.5,2116.6666666666665,2553.59375
2027,4,5758.333333333333,4085.714285714286,4145.166666666667,3110.6428571428573
2027,5,4050.0,3775.0,3316.6666666666665,8500.0
2027,6,,,5250.0,9000.0
2027,7,,5500.0,,
2027,U,,628.125,775.0,
2028,1,500.0,583.75,575.0,570.0
2028,2,673.75,865.3076923076923,995.0,1091.2
2028,3,1797.0588235294117,1841.851851851852,2319.230769230769,1872.7272727272727
2028,4,2899.705882352941,3120.0,3395.5882352941176,2820.6428571428573
2028,5,3000.0,3291.6666666666665,2750.0,3700.0
2028,U,,925.0,990.0,
2029,0,650.0,360.0,,
2029,1,578.0,593.3333333333334,685.8333333333334,790.0
2029,2,801.7647058823529,881.2380952380952,1113.3333333333333,945.7142857142857
2029,3,1412.948717948718,1423.6538461538462,1816.764705882353,1768.0
2029,4,2812.3333333333335,2395.8333333333335,2610.2,2686.0
2029,5,2400.0,2475.0,3205.0,3583.3333333333335
2029,6,3615.0,,2300.0,2800.0
2029,U,,1073.3333333333333,,
2030,1,335.0,508.75,610.0,683.3333333333334
2030,2,765.2352941176471,868.0952380952381,980.2380952380952,1010.625
2030,3,1414.6176470588234,1736.111111111111,2301.0416666666665,2102.0
2030,4,2532.4285714285716,3047.0238095238096,2991.326530612245,3366.818181818182
2030,5,3569.4444444444443,3620.967741935484,3491.488888888889,4059.2727272727275
2030,6,3037.5,5040.0,5116.666666666667,4495.0
2030,7,5000.0,5700.0,3075.0,4266.666666666667
2030,U,2600.0,850.0,880.0,
2031,0,275.0,267.5,,
2031,1,468.57142857142856,534.3939393939394,623.0,622.9032258064516
2031,2,718.0113636363636,783.15,941.6875,1005.070707070707
2031,3,1148.9423076923076,1211.5865384615386,1386.4433962264152,1462.2018348623853
2031,4,1483.3561643835617,1765.2222222222222,1934.5,1990.0
2031,5,2233.75,2309.52,2302.5,2425.2083333333335
2031,6,3000.0,1400.0,,2200.0
2031,7,,,,3500.0
2031,U,,846.2142857142857,691.6666666666666,
2032,0,433.3333333333333,456.6666666666667,460.0,580.0
2032,1,332.22222222222223,316.09375,388.8958333333333,449.23728813559325
2032,10,,,465.0,
2032,11,900.0,,,
2032,2,599.0425531914893,693.3783783783783,834.5454545454545,864.7441860465116
2032,3,792.295918367347,913.8265306122449,1181.1616161616162,1187.295918367347
2032,4,983.125,1230.2542372881355,1431.6666666666667,1448.0625
2032,5,1345.0,1429.3333333333333,1640.4545454545455,1844.1666666666667
2032,6,1356.25,2172.5,1693.3333333333333,1875.0
2032,7,1275.0,,,
2032,U,,667.2727272727273,4091.5,600.0
2033,0,,544.0,398.0,675.0
2033,1,323.75,454.2857142857143,494.1666666666667,494.5
2033,15,,2200.0,,
2033,2,596.71875,643.1818181818181,902.5,861.0416666666666
2033,3,782.2857142857143,992.0238095238095,1178.3720930232557,1285.909090909091
2033,4,1354.7058823529412,1299.8148148148148,1399.6296296296296,1390.4054054054054
2033,5,1448.0,1660.0,1700.0,2120.714285714286
2033,6,1283.3333333333333,1575.0,2220.0,1550.0
2033,7,1600.0,1550.0,280.0,
2033,9,1600.0,,,
2033,U,,676.0,678.0,1100.0
2034,0,,280.0,250.0,555.0
2034,1,563.0,579.5,607.2727272727273,660.5882352941177
2034,2,797.6315789473684,819.6153846153846,938.5217391304348,1056.1702127659576
2034,3,1176.6363636363637,1279.322033898305,1550.6153846153845,1591.736111111111
2034,4,1625.9782608695652,1881.4,2045.4166666666667,2127.549019607843
2034,5,2302.777777777778,2264.5833333333335,2600.909090909091,2946.153846153846
2034,6,2110.0,1450.0,2200.0,2150.0
2034,U,,737.5,996.0,
2035,0,406.6666666666667,512.5,,
2035,1,350.9375,352.7586206896552,439.61538461538464,457.88461538461536
2035,10,,,3120.0,
2035,2,694.8876404494382,759.9236641221374,880.7692307692307,987.4019607843137
2035,3,930.475,1003.6117021276596,1229.871794871795,1276.0051546391753
2035,4,1325.3529411764705,1460.120481927711,1725.0625,1777.4698795180723
2035,5,1480.08,1625.0,1747.142857142857,2074.6060606060605
2035,6,1638.0,1625.0,2190.0,1666.6666666666667
2035,7,,,1750.0,2500.0
2035,8,1800.0,,,
2035,U,1097.5,673.75,836.6666666666666,
2036,0,380.0,570.0,,
2036,1,478.75,475.6666666666667,637.0833333333334,696.875
2036,2,618.2142857142857,731.1111111111111,823.4358974358975,884.0277777777778
2036,3,901.2285714285714,1028.7573529411766,1213.271028037383,1263.2903225806451
2036,4,1371.301886792453,1410.1025641025642,1581.1224489795918,1672.5833333333333
2036,5,1313.421052631579,1466.5,1719.1304347826087,1851.3235294117646
2036,6,1400.0,1766.6666666666667,1737.0,1589.1666666666667
2036,7,1700.0,1900.0,2000.0,1900.0
2036,U,,857.0,775.0,
2037,0,360.0,324.64285714285717,345.0,410.8333333333333
2037,1,409.6363636363636,461.88157894736844,549.3650793650794,532.6923076923077
2037,2,707.7142857142857,745.9624060150376,863.1531531531532,949.5434782608696
2037,3,925.3846153846154,1033.5945945945946,1162.78125,1257.2727272727273
2037,4,1286.1041666666667,1334.264705882353,1433.390625,1543.7
2037,5,1141.6666666666667,1339.1666666666667,1513.4375,1596.0
2037,6,,,1100.0,
2037,7,,,1650.0,1650.0
2037,8,1200.0,,,
2037,9,,1850.0,,3500.0
2037,U,543.3333333333334,656.1538461538462,603.6666666666666,
2038,0,602.5,337.5,430.0,425.0
2038,1,458.1818181818182,405.85714285714283,494.8611111111111,551.3793103448276
2038,2,723.1034482758621,753.141592920354,839.8888888888889,894.3956043956044
2038,25,,860.0,,
2038,3,983.8778625954199,1020.0,1132.7542372881355,1204.5299145299145
2038,4,1224.5555555555557,1341.774193548387,1422.8125,1484.2424242424242
2038,5,1500.0,1583.3333333333333,1750.0,1575.0
2038,6,1200.0,,,
2038,U,,544.2857142857143,546.25,
2039,0,1050.0,520.0,425.0,
2039,1,528.8888888888889,556.9047619047619,595.25,723.8235294117648
2039,2,711.9230769230769,731.8446601941747,819.047619047619,877.2941176470588
2039,3,931.8229166666666,992.3157894736842,1156.158536585366,1208.012048192771
2039,4,1145.909090909091,1249.6923076923076,1508.695652173913,1598.9655172413793
2039,5,931.6666666666666,1562.5,2050.0,1500.0
2039,U,,660.0,593.25,
2040,0,561.875,576.6666666666666,630.0,573.3333333333334
2040,1,351.6981132075472,439.83720930232556,500.9736842105263,513.2258064516129
2040,2,677.0757575757576,711.7161016949152,794.7029702970297,837.1926605504588
2040,3,868.1754385964912,935.8461538461538,1037.432,1131.706827309237
2040,4,1144.4285714285713,1188.134328358209,1334.6666666666667,1452.8472222222222
2040,5,1103.5714285714287,1317.9166666666667,1309.1666666666667,1471.4285714285713
2040,6,1400.0,1100.0,1900.0,
2040,7,,1500.0,1800.0,
2040,U,840.0,664.1666666666666,780.0,1030.0
2041,0,263.3333333333333,446.0,400.0,420.0
2041,1,458.4166666666667,480.5128205128205,513.6111111111111,587.7631578947369
2041,2,742.741935483871,809.8563218390805,859.1438356164383,945.1633986928105
2041,3,1097.2443181818182,1145.6666666666667,1278.1949685534591,1323.3333333333333
2041,4,1449.4615384615386,1500.75,1871.0204081632653,1972.8163265306123
2041,5,2229.1666666666665,2345.75,2163.4444444444443,2680.0
2041,6,,,1900.0,
2041,U,,754.5833333333334,556.6666666666666,
2042,0,491.1111111111111,371.25,517.5,443.3333333333333
2042,1,394.13793103448273,389.3888888888889,496.65354330708664,488.42857142857144
2042,2,677.8028169014085,730.3397790055249,821.3,856.0980392156863
2042,3,876.615120274914,930.5471698113207,1084.3863636363637,1105.7608695652175
2042,4,1115.5875,1170.388888888889,1328.6567164179105,1385.5172413793102
2042,5,1239.1666666666667,1384.375,1773.076923076923,1179.6875
2042,6,1300.0,1200.0,1500.0,
2042,7,,1550.0,,
2042,U,692.5,660.7692307692307,505.0,675.0
2043,0,750.0,716.6666666666666,746.25,733.3333333333334
2043,1,484.2857142857143,507.69565217391306,618.1290322580645,633.1818181818181
2043,2,703.0353982300885,737.9545454545455,815.3913043478261,871.5520833333334
2043,3,873.7857142857143,989.9861111111111,1121.132075471698,1179.4262295081967
2043,4,1171.7931034482758,1072.8,1378.8620689655172,1448.7272727272727
2043,5,900.0,1450.0,,
2043,U,1100.0,686.5,705.0,
2044,0,500.0,280.0,340.0,415.0
2044,1,425.625,435.0,535.875,550.0
2044,17,,,9180.0,
2044,2,644.2352941176471,673.6075949367089,780.7796610169491,816.0833333333334
2044,3,760.0990099009902,809.1344537815127,961.7857142857143,967.25
2044,4,1006.6176470588235,1114.4285714285713,1230.625,1314.7142857142858
2044,5,986.6666666666666,1100.0,1406.25,1357.142857142857
2044,6,1050.0,712.5,,
2044,U,750.0,370.0,882.8571428571429,600.0
2045,0,990.0,625.0,,
2045,1,365.0,441.6666666666667,500.0,434.2857142857143
2045,2,616.25,677.3076923076923,902.8571428571429,803.8888888888889
2045,3,849.0,895.0,1049.4285714285713,1002.5
2045,4,1016.3888888888889,1102.0588235294117,1242.3333333333333,1266.0869565217392
2045,5,995.0,1373.3333333333333,1395.0,1500.0
2045,6,,,1700.0,
2045,U,,750.0,,
2046,0,400.0,270.0,585.0,
2046,1,390.75,408.1818181818182,446.9166666666667,582.2857142857143
2046,2,637.6218487394958,671.0887096774194,791.8144329896908,818.5820895522388
2046,3,848.75,921.2626262626262,997.2516556291391,1093.577922077922
2046,4,1214.6296296296296,1249.516129032258,1402.3636363636363,1631.6363636363637
2046,5,1459.375,1506.1538461538462,1600.0,1701.7857142857142
2046,6,1200.0,1400.0,1700.0,1725.0
2046,7,,,,1500.0
2046,8,,,1600.0,
2046,U,883.3333333333334,711.0526315789474,741.6666666666666,1878.6666666666667
2047,1,535.0,561.0,616.0,628.75
2047,2,694.8913043478261,715.625,790.0925925925926,832.7333333333333
2047,3,934.433962264151,950.6896551724138,1124.4137931034484,1280.7894736842106
2047,4,1192.7272727272727,1218.448275862069,1296.142857142857,1402.1875
2047,5,1335.7142857142858,1675.0,2050.0,1930.0
2047,7,,,,3200.0
2047,U,640.0,582.5,270.0,
2048,0,300.0,435.0,,
2048,1,429.72222222222223,420.16129032258067,463.57142857142856,560.0
2048,11,,,,6500.0
2048,2,628.1428571428571,718.5344827586207,802.1794871794872,864.0625
2048,3,848.6516853932584,938.8383838383838,1049.3506493506493,1133.3333333333333
2048,4,1180.5555555555557,1226.774193548387,1404.4642857142858,1575.576923076923
2048,5,1216.6666666666667,1356.0,1333.3333333333333,1595.0
2048,U,,554.1666666666666,750.0,1160.0
2049,0,503.75,350.0,365.0,450.0
2049,1,397.12,419.19354838709677,379.3243243243243,569.6511627906976
2049,2,632.09375,678.8356164383562,731.1475409836065,805.7407407407408
2049,20,,,8750.0,
2049,3,823.3125,841.5529411764705,1018.5542168674699,1045.6875
2049,4,1054.1891891891892,1060.8139534883721,1461.4545454545455,1401.1538461538462
2049,5,1218.75,1245.8333333333333,1303.5714285714287,1250.0
2049,6,,1500.0,1900.0,
2049,7,,1575.0,,
2049,8,,2200.0,,
2049,9,,,,2200.0
2049,U,750.0,639.0,716.6666666666666,
2050,0,460.0,395.0,765.4285714285714,
2050,1,517.7777777777778,469.1578947368421,592.8571428571429,652.3809523809524
2050,2,659.4851485148515,721.7142857142857,851.6176470588235,863.2352941176471
2050,3,918.0555555555555,1086.75,1094.1964285714287,1205.7291666666667
2050,4,1135.8823529411766,1299.5238095238096,1475.0,1587.5294117647059
2050,5,1300.0,1326.6666666666667,1820.0,1892.857142857143
2050,U,775.0,815.75,966.6666666666666,
2060,0,617.0,431.42857142857144,610.25,691.6666666666666
2060,1,442.27272727272725,512.03125,601.6216216216217,757.7368421052631
2060,2,838.5909090909091,826.4655172413793,928.2407407407408,949.7254901960785
2060,3,1129.0487804878048,1161.5384615384614,1375.6949152542372,1346.3188405797102
2060,4,1545.3846153846155,1591.7857142857142,1716.1904761904761,1674.047619047619
2060,5,1580.0,1416.6666666666667,1681.6666666666667,3300.0
2060,6,,,6000.0,2400.0
2060,U,2000.0,590.4545454545455,782.0833333333334,1700.0
2061,0,397.5,408.75,610.0,500.0
2061,1,590.0,562.5,679.0,703.8888888888889
2061,2,1019.5,791.9230769230769,963.8888888888889,979.0625
2061,3,1440.0,1607.142857142857,1627.3684210526317,1487.9166666666667
2061,4,1758.3333333333333,2093.3333333333335,1690.0,1554.0
2061,6,,,,1500.0
2061,U,,780.0,787.5,
2062,0,950.0,,990.0,800.0
2062,1,590.0,397.77777777777777,531.4285714285714,655.0
2062,2,764.7647058823529,778.3333333333334,827.2916666666666,954.2857142857143
2062,3,1069.787234042553,999.3333333333334,1111.5116279069769,1167.4324324324325
2062,4,1900.0,1775.0,1759.7619047619048,2284.0625
2062,5,2250.0,2135.714285714286,2450.0,2366.6666666666665
2062,U,,732.5,600.0,
2063,1,415.0,488.75,610.7142857142857,564.0
2063,2,782.5,833.125,981.6666666666666,887.7777777777778
2063,3,1156.6,1117.7083333333333,1249.8148148148148,1417.6666666666667
2063,4,1628.9583333333333,1775.2173913043478,1972.8260869565217,2166.304347826087
2063,5,2448.3333333333335,2262.8571428571427,2190.0,2626.923076923077
2063,6,1700.0,4000.0,2450.0,2316.6666666666665
2063,7,,,,7000.0
2063,U,1890.0,,,
2064,0,420.0,571.6666666666666,422.5,450.0
2064,1,440.0,458.0,476.25,595.0
2064,2,597.7115384615385,647.0,715.9615384615385,790.8108108108108
2064,3,978.3333333333334,985.0,1115.8064516129032,1198.5416666666667
2064,4,1220.3125,1459.2307692307693,1705.0,1742.1875
2064,5,1525.0,1778.3333333333333,1586.0,1860.5555555555557
2064,6,1370.0,,2200.0,
2064,U,,596.6666666666666,678.75,
2065,0,363.3333333333333,477.85714285714283,552.0,685.0
2065,1,481.8333333333333,530.622641509434,612.7619047619048,622.3404255319149
2065,2,733.1395348837209,819.1796875,846.5410958904109,938.0088495575221
2065,3,1007.2395833333334,1122.566844919786,1137.4043715846994,1260.0326797385621
2065,4,1399.5348837209303,1494.2708333333333,1499.909090909091,1562.5
2065,5,1498.6842105263158,1351.7241379310344,1398.5714285714287,1271.1904761904761
2065,6,1370.0,,3000.0,2733.3333333333335
2065,7,,1225.0,1600.0,
2065,U,,819.6666666666666,803.8461538461538,
2066,0,663.3333333333334,496.0,1195.0,
2066,1,439.44444444444446,460.8888888888889,583.421052631579,587.0588235294117
2066,2,605.7608695652174,645.25,735.75,766.6739130434783
2066,3,852.1081081081081,984.1071428571429,1056.3358778625955,1114.6062992125985
2066,4,1394.4655172413793,1471.4558823529412,1480.5633802816901,1631.7763157894738
2066,5,1746.7241379310344,2124.375,1868.030303030303,1965.9615384615386
2066,6,1387.5,2035.0,1754.1666666666667,1766.6666666666667
2066,7,,,2100.0,
2066,U,,686.6666666666666,650.625,
2067,0,605.0,659.375,605.0,788.75
2067,1,418.0,489.95238095238096,582.9428571428572,571.2
2067,2,634.2222222222222,737.0714285714286,832.0588235294117,815.6451612903226
2067,3,866.989898989899,978.3181818181819,1031.595744680851,1124.388888888889
2067,4,1219.5121951219512,1311.741573033708,1385.1298701298701,1447.8651685393259
2067,5,1313.148148148148,1567.4,1696.09375,1534.9310344827586
2067,6,1500.0,1660.0,1837.5,1946.6666666666667
2067,7,1050.0,,,
2067,8,1500.0,,1700.0,
2067,U,1550.0,848.2142857142857,1000.0,1500.0
2068,0,740.0,505.0,547.5,866.6666666666666
2068,1,455.8333333333333,455.0,558.1818181818181,608.6363636363636
2068,2,689.4897959183673,741.8604651162791,815.2439024390244,840.8928571428571
2068,3,1045.3048780487804,1091.9444444444443,1214.0,1236.3095238095239
2068,4,1371.1323529411766,1452.7945205479452,1473.7012987012988,1647.6666666666667
2068,5,1918.5416666666667,1915.6451612903227,1998.103448275862,2291.4
2068,6,2000.0,1350.0,2300.0,2166.6666666666665
2068,7,,2750.0,,
2068,9,1600.0,,,
2068,U,1300.0,606.4285714285714,1018.3333333333334,
2069,0,337.5,175.0,,600.0
2069,1,280.0,372.0,551.0,596.875
2069,17,150.0,,,
2069,2,565.0,682.5,680.3125,761.0714285714286
2069,3,888.2075471698113,963.0909090909091,1037.5925925925926,1108.6206896551723
2069,4,1417.6666666666667,1401.8253968253969,1433.4558823529412,1637.4561403508771
2069,5,1542.6923076923076,1741.5,1676.8055555555557,2086.6666666666665
2069,6,2200.0,2183.3333333333335,2600.0,
2069,7,1450.0,2225.0,1500.0,2033.3333333333333
2069,U,,,670.0,1250.0
2070,0,,,565.0,
2070,1,382.5,472.5,427.5,532.0833333333334
2070,2,654.4444444444445,749.375,700.8823529411765,854.2857142857143
2070,3,999.9459459459459,1106.8055555555557,1089.7297297297298,1160.25
2070,4,1285.5555555555557,1539.8032786885246,1562.8301886792453,1627.0535714285713
2070,5,1685.945945945946,1768.3823529411766,1749.6341463414635,1920.7142857142858
2070,6,1873.3333333333333,1850.7142857142858,2300.0,2456.25
2070,U,1575.0,700.0,570.0,
2071,0,1500.0,,,
2071,1,418.3333333333333,400.0,590.0,532.5
2071,2,518.3333333333334,581.9230769230769,707.7272727272727,758.8888888888889
2071,3,913.8235294117648,944.4444444444445,993.0,1080.3846153846155
2071,4,1249.0,1341.862745098039,1409.2372881355932,1401.5454545454545
2071,5,1510.3125,1591.1764705882354,1739.3255813953488,1958.8372093023256
2071,6,,2142.8571428571427,1900.0,2162.5
2071,7,1325.0,1900.0,,
2071,U,,700.0,890.0,
2072,1,382.3333333333333,391.5,578.5714285714286,582.5
2072,2,683.3333333333334,540.0,700.0,745.0
2072,3,794.4642857142857,960.1666666666666,870.952380952381,1029.5142857142857
2072,4,1244.7435897435898,1229.6666666666667,1222.6666666666667,1367.0
2072,5,1502.25,2025.0,1696.4285714285713,1704.1666666666667
2072,6,215.83333333333334,239.5,898.0,1966.6666666666667
2072,7,1590.0,,2075.0,2000.0
2072,U,325.0,950.0,1054.0,
2073,0,1300.0,,,
2073,1,418.0,493.0,523.3333333333334,535.0
2073,2,511.15384615384613,554.2,638.75,787.3529411764706
2073,3,880.7534246575342,963.1698113207547,1080.0,1106.4222222222222
2073,4,1145.8333333333333,1231.5217391304348,1273.3472222222222,1260.9027777777778
2073,5,1744.5,1500.1724137931035,1714.4354838709678,1758.125
2073,6,1705.4166666666667,1950.0,2187.5,1855.0
2073,7,800.0,,1150.0,2300.0
2073,U,1000.0,731.4285714285714,740.0,
2074,0,810.0,810.0,,
2074,1,395.0,417.0,535.0,480.0
2074,2,590.9090909090909,626.1363636363636,716.3157894736842,664.7058823529412
2074,3,863.3333333333334,922.1551724137931,950.1818181818181,1045.576923076923
2074,4,1075.1973684210527,1228.7662337662337,1249.2307692307693,1389.4155844155844
2074,5,1621.081081081081,1657.857142857143,1607.0212765957447,1875.9166666666667
2074,6,1206.0,1594.0,1677.7777777777778,1685.7142857142858
2074,7,215.0,937.5,722.5,337.14285714285717
